 EPOCH1D v4.19.3   v4.19.3-50-gfda5fac1-dirty 1742826603.511           

 Loaded 2560 particles of species "Carbon"
Wrote normal ,           0000.sdf at time  0.4951E-16 and iteration       0
Wrote normal ,           0001.sdf at time  0.4951E-15 and iteration       5
Wrote normal ,           0002.sdf at time  0.8912E-15 and iteration       9
Wrote normal ,           0003.sdf at time  0.1287E-14 and iteration      13
Wrote normal ,           0004.sdf at time  0.1782E-14 and iteration      18
Wrote normal ,           0005.sdf at time  0.2179E-14 and iteration      22
Wrote normal ,           0006.sdf at time  0.2575E-14 and iteration      26
Wrote normal ,           0007.sdf at time  0.2971E-14 and iteration      30
Wrote normal ,           0008.sdf at time  0.3466E-14 and iteration      35
Wrote normal ,           0009.sdf at time  0.3862E-14 and iteration      39
Wrote normal ,           0010.sdf at time  0.4258E-14 and iteration      43
Wrote normal ,           0011.sdf at time  0.4753E-14 and iteration      48
Wrote normal ,           0012.sdf at time  0.5149E-14 and iteration      52
Wrote normal ,           0013.sdf at time  0.5546E-14 and iteration      56
Wrote normal ,           0014.sdf at time  0.5942E-14 and iteration      60
Wrote normal ,           0015.sdf at time  0.6437E-14 and iteration      65
Wrote normal ,           0016.sdf at time  0.6833E-14 and iteration      69
Wrote normal ,           0017.sdf at time  0.7229E-14 and iteration      73
Wrote normal ,           0018.sdf at time  0.7724E-14 and iteration      78
Wrote normal ,           0019.sdf at time  0.8120E-14 and iteration      82
Wrote normal ,           0020.sdf at time  0.8516E-14 and iteration      86
Wrote normal ,           0021.sdf at time  0.8912E-14 and iteration      90
Wrote normal ,           0022.sdf at time  0.9408E-14 and iteration      95
Wrote normal ,           0023.sdf at time  0.9804E-14 and iteration      99
Wrote normal ,           0024.sdf at time  0.1020E-13 and iteration     103
Wrote normal ,           0025.sdf at time  0.1069E-13 and iteration     108
Wrote normal ,           0026.sdf at time  0.1109E-13 and iteration     112
Wrote normal ,           0027.sdf at time  0.1149E-13 and iteration     116
Wrote normal ,           0028.sdf at time  0.1188E-13 and iteration     120
Wrote normal ,           0029.sdf at time  0.1238E-13 and iteration     125
Wrote normal ,           0030.sdf at time  0.1277E-13 and iteration     129
Wrote normal ,           0031.sdf at time  0.1317E-13 and iteration     133
Wrote normal ,           0032.sdf at time  0.1367E-13 and iteration     138
Wrote normal ,           0033.sdf at time  0.1406E-13 and iteration     142
Wrote normal ,           0034.sdf at time  0.1446E-13 and iteration     146
Wrote normal ,           0035.sdf at time  0.1485E-13 and iteration     150
Wrote normal ,           0036.sdf at time  0.1535E-13 and iteration     155
Wrote normal ,           0037.sdf at time  0.1575E-13 and iteration     159
Wrote normal ,           0038.sdf at time  0.1614E-13 and iteration     163
Wrote normal ,           0039.sdf at time  0.1654E-13 and iteration     167
Wrote normal ,           0040.sdf at time  0.1703E-13 and iteration     172
Wrote normal ,           0041.sdf at time  0.1743E-13 and iteration     176
Wrote normal ,           0042.sdf at time  0.1782E-13 and iteration     180
Wrote normal ,           0043.sdf at time  0.1832E-13 and iteration     185
Wrote normal ,           0044.sdf at time  0.1872E-13 and iteration     189
